last_name, first_name,player_id,year,b_ab,b_total_pa,b_single,b_double,b_triple,b_home_run,b_walk,b_k_percent,b_bb_percent,on_base_plus_slg,isolated_power,b_rbi,b_total_bases,r_total_caught_stealing,r_total_stolen_base,b_hit_by_pitch,r_run,r_stolen_base_pct,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrels,barrel_batted_rate,hard_hit_percent,whiff_percent,swing_percent,groundballs_percent,flyballs_percent,sprint_speed,
Duffy, Matt,622110,2021,90,106,20,4,0,1,11,17.0,10.4,.733,.078,12,32,0,3,4,16,,.297,.426,.363,.394,.129,87.6,6.8,38.4,3,4.1,42.5,11.1,37.6,49.3,17.8,26.6,
Walton, Donovan,622268,2021,53,56,8,1,1,1,1,23.2,1.8,.535,.113,5,17,0,1,0,2,,.234,.358,.266,.261,.124,87.8,12,35.6,4,8.9,20,25.9,55.2,48.9,24.4,26.9,
Margot, Manuel,622534,2021,182,193,29,8,2,5,10,15.5,5.2,.670,.148,32,71,4,6,0,20,,.264,.407,.306,.299,.144,88,11,31.1,9,5.6,41.6,20.3,52.1,46,24.2,28.8,
Reyes, Victor,622682,2021,83,86,7,4,1,1,3,29.1,3.5,.451,.108,4,22,0,2,0,9,,.236,.345,.265,.263,.108,89.1,8.1,36.2,2,3.4,29.3,30,58.1,48.3,19,28.4,
Mateo, Jorge,622761,2021,69,74,11,3,0,1,1,24.3,1.4,.561,.087,5,21,0,2,3,7,,.222,.315,.258,.264,.093,84.5,8.7,41.5,3,5.7,28.3,29.5,49.8,47.2,18.9,31.0,
Bote, David,623520,2021,144,162,19,5,0,5,13,22.2,8.0,.618,.139,23,49,1,0,3,16,,.263,.487,.355,.336,.224,90.1,7.4,29.1,15,13.6,45.5,27.5,46.1,50.9,24.5,27.3,
Ramirez, Harold,623912,2021,94,100,15,7,1,3,4,12.0,4.0,.788,.191,13,44,0,2,2,13,,.335,.537,.394,.380,.202,94.1,3.3,27.1,8,9.4,55.3,22.3,56.3,54.1,14.1,28.5,
Santander, Anthony,623993,2021,114,124,18,8,0,3,4,24.2,3.2,.686,.149,12,46,0,0,2,10,,.286,.394,.315,.319,.108,90,11.5,34.4,6,6.5,45.2,25.7,54.7,45.2,16.1,26.0,
Alonso, Pete,624413,2021,150,173,23,7,0,7,19,23.7,11.0,.769,.187,24,65,0,0,2,24,,.261,.519,.370,.351,.258,93.3,17.1,35.1,19,16.7,49.1,25.4,48.1,34.2,35.1,26.7,
Arroyo, Christian,624414,2021,85,92,16,8,0,0,3,25.0,3.3,.703,.094,5,32,0,1,3,9,,.222,.302,.257,.270,.080,84.4,6.2,31.8,2,3,27.3,27.1,57.2,59.1,12.1,27.7,
Biggio, Cavan,624415,2021,127,151,19,3,1,3,20,31.1,13.2,.626,.110,11,40,1,2,1,14,,.194,.299,.275,.306,.106,88.8,15.3,32.9,3,3.7,29.3,29.1,41.5,41.5,25.6,28.3,
Conforto, Michael,624424,2021,113,135,18,6,0,2,18,20.0,13.3,.692,.106,13,38,0,0,4,10,,.275,.471,.378,.394,.196,88.3,12.1,34.9,8,9.3,34.9,22.6,43.4,45.3,30.2,26.9,
Frazier, Adam,624428,2021,221,246,50,19,3,2,20,11.0,8.1,.873,.140,23,105,4,3,4,33,,.291,.386,.330,.358,.095,85.6,16.1,38.4,2,1,26.1,11.9,46.9,36,24.1,27.1,
Trevino, Jose,624431,2021,130,138,27,3,0,2,4,21.7,2.9,.576,.069,11,41,0,0,0,12,,.259,.390,.291,.279,.131,88.3,6.4,35.6,5,4.8,38.5,22.9,46.7,50,22.1,24.5,
Nunez, Dom,624513,2021,111,126,6,5,2,5,15,40.5,11.9,.640,.216,19,42,0,0,0,17,,.168,.337,.263,.273,.169,86.9,15.4,41.3,7,11.1,34.9,38.9,39.6,38.1,30.2,25.3,
Soler, Jorge,624585,2021,175,204,16,11,0,4,18,30.9,8.8,.563,.131,24,54,0,0,3,18,,.223,.435,.322,.307,.212,93,17.4,27.1,15,12.7,52.5,31.6,47.5,40.7,29.7,26.0,
Sosa, Edmundo,624641,2021,77,90,16,3,1,1,5,17.8,5.6,.754,.104,5,29,3,2,8,10,,.225,.346,.310,.340,.121,87.4,-2,23.8,3,4.8,33.3,27.2,54.4,63.5,17.5,29.4,
Heredia, Guillermo,628338,2021,93,104,12,11,0,2,10,29.8,9.6,.798,.183,11,42,0,0,1,15,,.253,.393,.311,.329,.140,87.9,13,39.4,5,7.6,36.4,27.6,50,43.9,19.7,27.3,
Hernandez, Yadiel,628450,2021,66,73,15,1,0,2,5,26.0,6.8,.708,.106,4,25,0,2,1,8,,.249,.441,.326,.312,.192,90.5,4.6,36,4,8,40,33.1,48.5,54,18,25.3,
Cronenworth, Jake,630105,2021,224,254,43,13,1,5,20,13.8,7.9,.749,.134,18,92,1,3,4,37,,.257,.409,.319,.327,.151,87.9,13.2,34.7,12,6.1,30.6,12.1,42.6,42.9,26,28.0,
