Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,FirstName,LastName,suffix,batterid
David Fletcher,25,519,MLB-AL,Los Angeles,154,653,596,83,173,30,4,6,49,55,2,64,0,1,1,8,8,2,0.29,0.35,0.384,0.734,David,Fletcher,Fletcher,664058
Chris Flexen,24,681,MLB-NL,New York,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,Chris,Flexen,Flexen,623167
Wilmer Flores,27,519,MLB-NL,Arizona,89,285,265,31,84,18,0,9,37,15,0,31,4,0,1,9,0,0,0.317,0.361,0.487,0.848,Wilmer,Flores,Flores,527038
Dylan Floro,28,559,MLB-NL,Los Angeles,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Dylan,Floro,Floro,571670
Tyler Flowers,33,521,MLB-NL,Atlanta,85,310,271,36,62,11,3,11,34,31,3,105,6,0,2,8,0,0,0.229,0.319,0.413,0.733,Tyler,Flowers,Flowers,452095
Mike Foltynewicz,27,520,MLB-NL,Atlanta,19,38,35,1,2,0,0,0,1,0,0,19,0,3,0,1,0,0,0.057,0.057,0.057,0.114,Mike,Foltynewicz,Foltynewicz,592314
Wilmer Font,29,651,MLB-NL,New York,3,4,3,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0.333,0.333,0.333,0.667,Wilmer,Font,Font,521655
Mike Ford,26,519,MLB-AL,New York,50,163,143,30,37,7,0,12,25,17,2,28,3,0,0,0,0,0,0.259,0.35,0.559,0.909,Mike,Ford,Ford,645801
Logan Forsythe,32,540,MLB-AL,Texas,101,367,317,38,72,17,1,7,39,44,0,100,3,0,2,8,2,0,0.227,0.325,0.353,0.678,Logan,Forsythe,Forsythe,523253
Dexter Fowler,33,519,MLB-NL,St. Louis,150,574,487,69,116,24,1,19,67,74,1,142,8,1,4,6,8,3,0.238,0.346,0.409,0.754,Dexter,Fowler,Fowler,451594
Jake Fraley,24,541,MLB-AL,Seattle,12,41,40,3,6,2,0,0,1,0,0,14,1,0,0,0,0,0,0.15,0.171,0.2,0.371,Jake,Fraley,Fraley,641584
Ty France,24,520,MLB-NL,San Diego,69,201,184,20,43,8,1,7,24,9,0,49,7,0,1,8,0,1,0.234,0.294,0.402,0.696,Ty,France,France,664034
Maikel Franco,26,519,MLB-NL,Philadelphia,123,428,389,48,91,17,0,17,56,36,19,61,0,0,3,14,0,0,0.234,0.297,0.409,0.705,Maikel,Franco,Franco,596748
Adam Frazier,27,519,MLB-NL,Pittsburgh,152,608,554,80,154,33,7,10,50,40,4,75,9,4,1,6,5,5,0.278,0.336,0.417,0.753,Adam,Frazier,Frazier,624428
Clint Frazier,24,519,MLB-AL,New York,69,246,225,31,60,14,0,12,38,16,1,70,2,0,3,2,1,1,0.267,0.317,0.489,0.806,Clint,Frazier,Frazier,640449
Todd Frazier,33,519,MLB-NL,New York,133,499,447,63,112,19,2,21,67,40,1,106,12,0,0,9,1,2,0.251,0.329,0.443,0.772,Todd,Frazier,Frazier,453943
Kyle Freeland,26,522,MLB-NL,Colorado,18,31,23,1,2,0,0,0,0,3,0,15,0,5,0,1,0,0,0.087,0.192,0.087,0.279,Kyle,Freeland,Freeland,607536
Freddie Freeman,29,519,MLB-NL,Atlanta,158,692,597,113,176,34,2,38,121,87,11,127,6,0,2,17,6,2,0.295,0.389,0.549,0.938,Freddie,Freeman,Freeman,518692
Mike Freeman,31,519,MLB-AL,Cleveland,75,213,177,27,49,8,0,4,24,22,0,61,4,6,4,2,1,1,0.277,0.362,0.39,0.752,Mike,Freeman,Freeman,502273
David Freese,36,520,MLB-NL,Los Angeles,79,186,162,35,51,13,0,11,29,23,0,44,1,0,0,7,0,0,0.315,0.403,0.599,1.002,David,Freese,Freese,501896
David Freitas,30,519,"MLB-NL,MLB-AL","Milwaukee,Seattle",17,20,15,2,1,0,0,0,1,4,0,5,0,0,1,1,0,0,0.067,0.25,0.067,0.317,David,Freitas,Freitas,571679
Max Fried,25,520,MLB-NL,Atlanta,35,65,56,11,11,4,0,0,4,5,0,16,0,4,0,0,0,0,0.196,0.262,0.268,0.53,Max,Fried,Fried,608331
Josh Fuentes,26,519,MLB-NL,Colorado,23,56,55,8,12,1,0,3,7,1,0,20,0,0,0,0,1,0,0.218,0.232,0.4,0.632,Josh,Fuentes,Fuentes,658069
Carson Fulmer,25,577,MLB-AL,Chicago,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Carson,Fulmer,Fulmer,608334
Drew Gagnon,29,656,MLB-NL,New York,2,4,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.333,0.333,0.333,0.667,Drew,Gagnon,Gagnon,543193
Rocky Gale,31,659,MLB-NL,Los Angeles,5,15,15,1,2,0,0,0,0,0,0,7,0,0,0,1,0,0,0.133,0.133,0.133,0.267,Rocky,Gale,Gale,502570
Cam Gallagher,26,575,MLB-AL,Kansas City,45,142,126,14,30,7,0,3,12,11,0,28,3,1,1,3,0,1,0.238,0.312,0.365,0.677,Cam,Gallagher,Gallagher,595956
Giovanny Gallegos,27,649,MLB-NL,St. Louis,3,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,Giovanny,Gallegos,Gallegos,606149
Zac Gallen,23,533,MLB-NL,"Arizona,Miami",14,24,19,2,2,0,0,0,1,0,0,8,0,5,0,0,0,0,0.105,0.105,0.105,0.211,Zac,Gallen,Gallen,668678
Joey Gallo,25,587,MLB-AL,Texas,70,297,241,54,61,15,1,22,49,52,4,114,2,1,1,0,4,1,0.253,0.389,0.598,0.986,Joey,Gallo,Gallo,608336
Isaac Galloway,29,661,MLB-NL,Miami,19,54,54,6,9,1,0,0,1,0,0,17,0,0,0,0,2,0,0.167,0.167,0.185,0.352,Isaac,Galloway,Galloway,543194
Freddy Galvis,29,534,"MLB-NL,MLB-AL","Cincinnati,Toronto",147,588,556,67,145,28,1,23,70,28,1,144,1,1,2,14,4,2,0.261,0.296,0.439,0.735,Freddy,Galvis,Galvis,520471
Ben Gamel,27,519,MLB-NL,Milwaukee,134,356,311,47,77,18,0,7,33,40,2,104,3,0,2,0,2,1,0.248,0.337,0.373,0.71,Ben,Gamel,Gamel,592325
John Gant,26,553,MLB-NL,St. Louis,3,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,John,Gant,Gant,607231
Aramis Garcia,26,519,MLB-NL,San Francisco,18,46,42,5,6,1,0,2,5,4,1,21,0,0,0,1,0,0,0.143,0.217,0.31,0.527,Aramis,Garcia,Garcia,605244
Avisail Garcia,28,519,MLB-AL,Tampa Bay,125,530,489,61,138,25,2,20,72,31,2,125,7,0,3,15,10,3,0.282,0.332,0.464,0.796,Avisail,Garcia,Garcia,541645
Greg Garcia,29,519,MLB-NL,San Diego,134,372,311,52,77,13,4,4,31,53,1,83,5,1,2,4,0,2,0.248,0.364,0.354,0.718,Greg,Garcia,Garcia,594824
Jarlin Garcia,26,620,MLB-NL,Miami,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Jarlin,Garcia,Garcia,606424
Leury Garcia,28,520,MLB-AL,Chicago,140,618,577,93,161,27,3,8,40,21,0,139,6,11,3,6,15,4,0.279,0.31,0.378,0.688,Leury,Garcia,Garcia,544725
